RabA,RabB,RabC,RabD,RabE,area,memCis,memL,memLS,memMedial,memS,memTrans,memTub,membraneMarker,proton,solL,solS,solubleMarker,volume,
0.0,0.0,0.0,0.0,1169300.79,1169300.79,5059.76,8033.0,0.65,5059.76,5059.76,5059.76,0.0,1.0,666.66,196257.0,130835.89,1.0,1.200245473E7,
0.0,0.0,0.0,0.0,1169300.79,1169300.79,5059.76,8033.0,0.65,5059.76,5059.76,5059.76,0.0,1.0,666.66,196257.0,130835.89,1.0,1.200245473E7,
0.0,0.0,0.0,0.0,1169300.79,1169300.79,5059.76,8033.0,0.65,5059.76,5059.76,5059.76,0.0,1.0,666.66,196257.0,130835.89,1.0,1.200245473E7,
0.0,0.0,0.0,0.0,1169300.79,1169300.79,5059.76,8033.0,0.65,5059.76,5059.76,5059.76,0.0,1.0,666.66,196257.0,130835.89,1.0,1.200245473E7,
0.0,0.0,0.0,0.0,1169300.79,1169300.79,5059.76,8033.0,0.65,5059.76,5059.76,5059.76,0.0,1.0,666.66,196257.0,130835.89,1.0,1.200245473E7,
0.0,0.0,0.0,0.0,1153906.98,1153906.98,4993.15,8033.0,0.65,4993.15,4993.15,4993.15,0.0,1.0,659.17,196257.0,129367.6,1.0,1.186775894E7,
0.0,0.0,0.0,0.0,1153906.98,1153906.98,4993.15,8033.0,0.65,4993.15,4993.15,4993.15,0.0,1.0,659.17,196257.0,129367.6,1.0,1.186775894E7,
0.0,0.0,0.0,0.0,1153906.98,1153906.98,4993.15,8033.0,0.65,4993.15,4993.15,4993.15,0.0,1.0,659.17,196257.0,129367.6,1.0,1.186775894E7,
0.0,0.0,0.0,0.0,1138513.18,1138513.18,4926.54,8033.0,0.65,4926.54,4926.54,4926.54,0.0,1.0,651.69,196257.0,127899.31,1.0,1.173306316E7,
0.0,0.0,0.0,0.0,1138513.18,1138513.18,4926.54,8033.0,0.65,4926.54,4926.54,4926.54,0.0,1.0,651.69,196257.0,127899.31,1.0,1.173306316E7,
0.0,0.0,0.0,0.0,1138513.18,1138513.18,4926.54,8033.0,0.65,4926.54,4926.54,4926.54,0.0,1.0,651.69,196257.0,127899.31,1.0,1.173306316E7,
0.0,0.0,0.0,0.0,1138513.18,1138513.18,4926.54,8033.0,0.65,4926.54,4926.54,4926.54,0.0,1.0,651.69,196257.0,127899.31,1.0,1.173306316E7,
0.0,0.0,0.0,0.0,1138513.18,1138513.18,4926.54,8033.0,0.65,4926.54,4926.54,4926.54,0.0,1.0,651.69,196257.0,127899.31,1.0,1.173306316E7,
0.0,0.0,0.0,0.0,1123119.37,1123119.37,4859.93,8033.0,0.65,4859.93,4859.93,4859.93,0.0,1.0,644.21,196257.0,126431.03,1.0,1.159836737E7,
