#cisterns#,#vesicles#,entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,
5.0,9.0,1.60127,0.26851,0.20384,0.2461,0.16735,0.19232,0.1904,
5.0,10.0,1.60118,0.2657,0.20423,0.24657,0.16767,0.19076,0.19076,
5.0,13.0,1.60137,0.26067,0.20388,0.24655,0.16897,0.1903,0.1903,
5.0,14.0,1.60176,0.25798,0.20427,0.24508,0.1693,0.19067,0.19067,
5.0,20.0,1.60234,0.24659,0.20512,0.24255,0.16966,0.18936,0.1933,
5.0,20.0,1.60235,0.24659,0.20512,0.24255,0.16966,0.18936,0.1933,
5.0,15.0,1.5996,0.27169,0.20156,0.25238,0.16638,0.18788,0.19179,
5.0,16.0,1.60003,0.2632,0.20196,0.25092,0.16671,0.18825,0.19217,
5.0,17.0,1.59992,0.2632,0.20235,0.25141,0.16703,0.18862,0.19058,
5.0,18.0,1.5998,0.2632,0.20275,0.25191,0.16736,0.18899,0.18899,
5.0,22.0,1.59958,0.25913,0.20436,0.25192,0.16671,0.18652,0.19049,
5.0,22.0,1.5996,0.25963,0.20278,0.25242,0.16704,0.18689,0.19087,
5.0,15.0,1.60022,0.2781,0.19685,0.24797,0.16343,0.20275,0.18899,
5.0,15.0,1.60015,0.27863,0.19527,0.24846,0.16375,0.20315,0.18936,
5.0,10.0,1.60196,0.30736,0.19337,0.24604,0.17191,0.20117,0.18751,
5.0,8.0,1.60192,0.31225,0.19262,0.24508,0.17124,0.20427,0.18679,
5.0,11.0,1.60147,0.30967,0.19374,0.24652,0.17029,0.20352,0.18593,
5.0,15.0,1.60113,0.30393,0.19527,0.24846,0.16966,0.19921,0.18739,
5.0,20.0,1.60021,0.29572,0.19721,0.25093,0.16737,0.19721,0.18727,
5.0,17.0,1.60195,0.3175,0.19604,0.24747,0.17429,0.19604,0.18615,
5.0,16.0,1.60222,0.32534,0.19566,0.24698,0.17592,0.19566,0.18579,
5.0,18.0,1.60188,0.31827,0.19643,0.24796,0.17463,0.19445,0.18652,
5.0,20.0,1.60151,0.3169,0.19239,0.25044,0.17638,0.19239,0.18839,
5.0,24.0,1.60144,0.30883,0.19395,0.25044,0.17579,0.19193,0.18789,
5.0,26.0,1.60159,0.30331,0.19473,0.24943,0.17447,0.19271,0.18865,
5.0,22.0,1.60182,0.31347,0.19317,0.24743,0.17307,0.1992,0.18714,
5.0,24.0,1.60116,0.30038,0.19395,0.24842,0.16973,0.2,0.18789,
5.0,24.0,1.60117,0.30038,0.19395,0.24842,0.16973,0.2,0.18789,
5.0,22.0,1.60117,0.30515,0.19317,0.24743,0.16905,0.20321,0.18714,
5.0,21.0,1.60104,0.30806,0.19116,0.24743,0.16905,0.20522,0.18714,
5.0,15.0,1.59842,0.19795,0.20622,0.18096,0.25285,0.16347,0.1965,
5.0,17.0,1.59776,0.19781,0.20702,0.17971,0.25384,0.16215,0.19727,
5.0,14.0,1.59569,0.20892,0.20427,0.17707,0.26063,0.16152,0.1965,
5.0,10.0,1.59444,0.2327,0.20116,0.17798,0.26491,0.16059,0.19536,
5.0,9.0,1.59391,0.24031,0.20077,0.17763,0.26633,0.16028,0.19499,
5.0,11.0,1.59433,0.23997,0.2,0.17867,0.26594,0.16121,0.19418,
5.0,11.0,1.59447,0.24527,0.19844,0.17707,0.26646,0.16347,0.19456,
5.0,11.0,1.59463,0.25313,0.19844,0.17901,0.26646,0.16347,0.19262,
5.0,12.0,1.59433,0.25357,0.19727,0.17776,0.2675,0.16411,0.19337,
5.0,11.0,1.59501,0.2626,0.19688,0.17741,0.26698,0.16768,0.19104,
5.0,13.0,1.59516,0.2602,0.19765,0.17811,0.26607,0.16638,0.19179,
5.0,14.0,1.5949,0.26016,0.19804,0.1765,0.26659,0.16671,0.19217,
5.0,13.0,1.59278,0.27199,0.19608,0.17454,0.27246,0.16671,0.19021,
5.0,15.0,1.59288,0.26525,0.19527,0.17557,0.2721,0.16572,0.19133,
5.0,16.0,1.59345,0.26309,0.19566,0.17592,0.27066,0.16605,0.19171,
5.0,17.0,1.59401,0.26228,0.19604,0.17627,0.26922,0.16638,0.19209,
5.0,17.0,1.59394,0.26278,0.19445,0.17662,0.26976,0.16671,0.19247,
5.0,17.0,1.59394,0.26278,0.19445,0.17662,0.26976,0.16671,0.19247,
